Neighborhood,City,Latitude,Longitude
Adarsh Nagar,Delhi,28.7196673,77.1687521
Ashok Vihar,Delhi,28.6920351,77.1571684
Azadpur,Delhi,28.712767,77.1672278
Bawana,Delhi,28.8030351,77.0361385
Begum Pur,Delhi,28.7255919,77.0559275
Dhaka,Delhi,28.7087037,77.2041573
Jahangirpuri,Delhi,28.7286463,77.1494494
Karala,Delhi,28.7360955,77.0157319
Keshav Puram,Delhi,28.6888676,77.1464542
Kingsway Camp,Delhi,28.6975363,77.1947122
Kohat Enclave,Delhi,28.6961874,77.1373056
Model Town,Delhi,28.717479,77.1754419
Narela,Delhi,28.8447626,77.0682855
Pitam Pura,Delhi,28.703672,77.1092108
Rani Bagh,Delhi,28.6180741,77.0617108
Rithala,Delhi,28.7220223,77.0972097
Rohini Sub City,Delhi,28.7407056,77.0577492
Shalimar Bagh,Delhi,28.7156255,77.1399938
Shakti Nagar,Delhi,28.67656,77.1874373
Bara Hindu Rao,Delhi,28.6613413,77.1985597
Chandni Chowk,Delhi,28.6513996,77.2229132
Civil Lines,Delhi,28.6836227,77.2089534
Dariba Kalan,Delhi,28.6554091,77.2318513
Gulabi Bagh,Delhi,28.673206,77.1862557
Kamla Nagar,Delhi,28.6805603,77.1991786
Kashmere Gate,Delhi,28.6654015,77.2227832
Lahori Gate,Delhi,28.6557074,77.2167965
Nehru Vihar,Delhi,28.7119618,77.2184596
Paharganj,Delhi,28.6441636,77.2041685
Pratap Nagar,Delhi,28.6703622,77.1920016
Pul Bangash,Delhi,28.666973,77.190111
Roshanara Bagh,Delhi,28.6727678,77.1929714
Sadar Bazaar,Delhi,28.655037,77.2022502
Sangam Vihar,Delhi,28.4985921,77.2227948
Sant Nagar,Delhi,28.5543809,77.2475006
Sarai Rohilla,Delhi,28.665506,77.1823162
Shakti Nagar,Delhi,28.67656,77.1874373
Shastri Nagar,Delhi,28.6762205,77.1622469
Tees Hazari,Delhi,28.6651851,77.2041431
Timarpur,Delhi,28.7021705,77.2027569
Wazirabad,Delhi,28.7295345,77.2070053
Babarpur,Delhi,28.6882529,77.2752142
Dilshad Garden,Delhi,28.6872625,77.2984069
Kabir Nagar,Delhi,28.6929019,77.2778661
Mandoli,Delhi,28.7077635,77.3005004
Maujpur,Delhi,28.6904309,77.2706437
Nand Nagri,Delhi,28.694577,77.2997726
Naveen Shahdara,Delhi,28.6761423,77.2797039
New Usmanpur,Delhi,28.6804616,77.2471981
Sadatpur,Delhi,28.7243279,77.2593586
Shahdara,Delhi,28.6825662,77.2321066
SoniVihar,Delhia,28.7374063,77.2098423
Shastri Park,Delhi,28.6703331,77.2312578
Yamuna Vihar,Delhi,28.6998111,77.2655877
Chandni Chowk,Delhi,28.6514176,77.2141583
Daryaganj,Delhi,28.6450385,77.2322321
Jhandewalan,Delhi,28.6465385,77.1944691
Karol Bagh,Delhi,28.6518724,77.1757282
Bara Hindu Rao,Delhi,28.6613413,77.1985597
Paharganj,Delhi,28.6441636,77.2041685
Rajender Nagar,Delhi,28.6368332,77.1746528
Sadar Bazaar,Delhi,28.655037,77.2022502
Barakhamba Road,Delhi,28.6297283,77.2227427
Chanakyapuri,Delhi,28.5954106,77.1669849
Connaught Place,Delhi,28.6289332,77.2065322
Gautampuri,Delhi,28.6785196,77.2615953
Gole Market,Delhi,28.634979,77.1955057
Golf Links,Delhi,28.5982166,77.2278478
INA Colony,Delhi,28.5767113,77.2101931
Khan Market,Delhi,28.6001601,77.2247701
Laxmibai Nagar,Delhi,28.5770633,77.2026992
Pragati Maidan,Delhi,28.6158555,77.2413533
Brij Puri,Delhi,28.7052344,77.2675222
East Vinod Nagar,Delhi,28.6221885,77.2965356
Gandhi Nagar,Delhi,28.6661593,77.2565012
Geeta Colony,Delhi,28.651078,77.2618588
Jhilmil Colony,Delhi,28.671151,77.3043172
Krishna Nagar,Delhi,28.6537731,77.2690393
Laxmi Nagar,Delhi,28.6360045,77.2520483
Mayur Vihar,Delhi,28.6151953,77.2906513
Pandav Nagar,Delhi,28.610477,77.2533472
Patparganj,Delhi,28.6310495,77.2846218
Preet Vihar,Delhi,28.6359236,77.2852142
Anand Vihar,Delhi,28.6527766,77.2890384
Shakarpur,Delhi,28.6288171,77.2713276
Shastri Nagar,Delhi,28.6762205,77.1622469
Silampur,Delhi,28.6659845,77.2539342
Vasundhara Enclave,Delhi,28.6017436,77.3090522
Vishwas Nagar,Delhi,28.6619539,77.2879751
Vivek Vihar,Delhi,28.6687803,77.3130982
