Neighborhood,City,Latitude,Longitude
Andheri,Mumbai,19.1148156,72.8334707
Amboli,Mumbai,19.1280482,72.8350584
Chakala,Mumbai,19.106549,72.8503575
D.N. Nagar,Mumbai,19.1227051,72.8215592
Four Bungalows,Mumbai,19.1215219,72.8207867
JB Nagar,Mumbai,19.1085011,72.8573233
Lokhandwala complex,Mumbai,19.1441401,72.8197246
Marol,Mumbai,19.1154712,72.86
Oshiwara Police Station Road,Mumbai,19.1485386,72.8307022
Poonam Nagar,Mumbai,19.1369265,72.8633162
Sahar village,Mumbai,19.0973717,72.8558712
Saki Naka,Mumbai,19.0995824,72.8769037
Seven Bungalows,Mumbai,19.1284336,72.8154987
Versova,Mumbai,19.1326828,72.7973377
Bandra,Mumbai,19.0545699,72.8123988
Bandra Kurla Complex Road,Mumbai,19.0660218,72.8611225
Bandstand Promenade Bandra west,Mumbai,19.0491745,72.809676
Gandhi Nagar Bandra East,Mumbai,19.0573975,72.8434551
Kherwadi Bandra East,Mumbai,19.0602101,72.8399061
Taj Land's End,Mumbai,19.0435436,72.8172671
Pali Hill,Mumbai,19.0683048,72.8169633
Bandra Reclamation,Mumbai,19.0490341,72.8234767
Borivali,Mumbai,19.2318496,72.8106229 
Borivali (West),Mumbai,19.229184,72.8019607
I C  Colony Borivali West,Mumbai,19.2500696,72.8448292
Eksar Colony Borivali West,Mumbai,19.2420206,72.8181373
Shimpoli,Mumbai,19.2218546,72.8391467
Gorai,Mumbai,19.2211923,72.8304657
Kora Kendra Hall,Mumbai,19.221363,72.8482969
Vazira Naka,Mumbai,19.2285925,72.8388633
Babhai Naka,Mumbai,19.2262131,72.8426798
Chikuwadi,Mumbai,19.221778,72.8333959
Yogi Nagar,Mumbai,19.2361395,72.8331713
Borivali (East),Mumbai,19.2290076,72.846705
Nancy Colony,Mumbai,19.2360018,72.8606086
Sukurwadi,Mumbai,19.2325981,72.8558801
Dahisar,Mumbai,19.2519886,72.8512778
Goregaon,Mumbai,19.1527882,72.8436782
Aareyr Milk Colony,Mumbai,19.1626586,72.881647
Motilal Nagar I,Mumbai,19.1562808,72.8350065
Bangur Nagar,Mumbai,19.1669767,72.8271666
Pandurang Wadi,Mumbai,19.1709086,72.8489046
Nesco colony,Mumbai,19.1492746,72.8490426
Jogeshwari,Mumbai,19.1416902,72.8232148
Juhu,Mumbai,19.1013041,72.8120342
Kandivali west,Mumbai,19.2097343,72.7939618
Charkop Gano,Mumbai,19.2137002,72.7990169
Hindustan Naka,Mumbai,19.2107097,72.828558
Mahavir Nagar,Mumbai,19.2162596,72.8408498
Khar,Mumbai,19.0688213,72.8142599
Pali Naka Road,Mumbai,19.0628526,72.8235858
Khar Danda,Mumbai,19.0798125,72.8178247
Malad West,Mumbai,19.1888442,72.7876847
Sunder Nagar,Mumbai,19.1766355,72.8325387
Pathanwadi,Mumbai,19.1802454,72.8567951
Rani Sati Marg,Mumbai,19.1783573,72.8647516
Mira Nagar,Mumbai,19.177328,72.8651144
Santacruz East,Mumbai,19.0779712,72.8410103
Irla,Mumbai,19.1082472,72.8382206
Bhandup,Mumbai,19.1480553,72.8967832
Ghatkopar,Mumbai,19.0790633,72.8905025
Amrut Nagar,Mumbai,19.1011636,72.9051586
Asalfa,Mumbai,19.0985262,72.8850437
Jagdusha Nagar,Mumbai,19.097551,72.9035778
Pant Nagar,Mumbai,19.084716,72.9019352
Mulund,Mumbai,19.1737372,72.9280473
Nahur Bhandup West,Mumbai,19.1575315,72.9359859
Powai,Mumbai,19.1251392,72.8700292
Chandivali,Mumbai,19.113108,72.8843372
Hiranandani Gardens,Mumbai,19.1171774,72.9025413
Vidyavihar,Mumbai,19.079115,72.8880214
Vikhroli,Mumbai,19.0896404,72.9042309
Gandhi Nagar,Mumbai,19.0573975,72.8434551
Kannamwar Nagar II ,Mumbai,19.116451,72.9283177
Vikhroli Park Site,Mumbai,19.1034759,72.9115337
Bombay Harbour,Mumbai,19.0564728,72.8419178
Chembur,Mumbai,19.0471548,72.8661618
Dayanand Saraswati Road,Mumbai,19.0573356,72.8982885
Thakkar Bappa Colony,Mumbai,19.0598743,72.8838098
Govandi,Mumbai,19.0530732,72.9064523
Deonar,Mumbai,19.049655,72.9136461
Mankhurd,Mumbai,19.049476,72.9177162
Mandala,Mumbai,19.0551431,72.9304956
Trombay,Mumbai,19.019418,72.8442736
Mahul Gaon,Mumbai,19.0326259,72.8975079
Breach Candy,Mumbai,18.971653,72.7976112 
Cotton Green East,Mumbai,18.9883065,72.8379307
Cuffe Parade,Mumbai,18.9151868,72.8112477
Cumbala Hill,Mumbai,18.9695001,72.7967482
Currey Road Bridge,Mumbai,18.995082,72.8305346
Dongri,Mumbai,18.9598631,72.8335356
Lower Parel,Mumbai,18.9983223,72.8110768
Mahalaxmi,Mumbai,18.9847149,72.8095122
Mahim,Mumbai,19.0401366,72.8332402
Malabar Hill,Mumbai,18.9518737,72.7837433
Marine Drive,Mumbai,18.937637,72.8218567
Marine Lines,Mumbai,18.9423631,72.8164297
Nariman Point,Mumbai,18.9248095,72.8145221
Prabhadevi,Mumbai,19.0152731,72.8199737
Sion,Mumbai,19.0426408,72.8508504
Walkeshwar,Mumbai,18.9512921,72.7940392
Worli,Mumbai,19.0040021,72.7863125
Antop Hill,Mumbai,19.030811,72.8654776
Byculla,Mumbai,18.9771123,72.8249743
Colaba,Mumbai,18.9095651,72.801681
Navy Nagar,Mumbai,18.8976933,72.7941843
Dadar,Mumbai,19.0208193,72.8253756
Fort,Mumbai,18.9346922,72.8188218
Girgaon,Mumbai,18.9564207,72.7995778
Kamathipura,Mumbai,18.9631624,72.8200836
Chor Bazaar,Mumbai,18.9599981,72.8224786
Matunga,Mumbai,19.0290314,72.8451757
Lalbaug Parel,Mumbai,18.9915451,72.8315267
